Chinese,English,Frequency Count
怪人,wack,1155
流,flow,1154
瓶,bottle,1154
几句,A few words,1154
玩吧,Play,1154
无能为力,Powerless,1154
清,clear,1154
斗争,struggle,1154
事先,in advance,1154
着想,Think,1154
乱来,Recklessly,1153
久等,Wait for a long time,1152
办不到,Not be able to do,1152
弥补,make up,1152
調查,investigation,1152
之上,Above,1152
萨,Salad,1151
這位,this,1151
乃,So,1151
隔,Separate,1151
鲸鱼,whale,1151
这方面,Aspect,1151
没收,Confuse,1151
饼,cake,1150
指导,guide,1150
苦,bitter,1150
那样的话,if that is the case,1149
那人,That person,1149
脏,dirty,1149
听话,obedient,1148
街区,Neighborhood,1148
媽,mom,1148
大象,elephant,1147
停留,Stay,1147
利亚,Liya,1147
罚款,fine,1147
家长,Parent,1146
双,pair,1146
號,Number,1146
還沒,not yet,1145
追查,Investigate,1145
观看,Watch,1145
出局,Export,1145
撤离,Evacuate,1145
蠅,fly,1145
摄影机,camera,1145
試試,Try,1145
蠀,Bleak,1144
口音,accent,1143
第一季,Season one,1143
住口,shut up,1143
這里,here,1142
全家,Family,1142
半夜,midnight,1142
难得,rare,1141
献给,Dedicate to,1141
取决于,depending on,1141
一命,Life,1141
理查,Score,1140
击败,beat,1140
可卡因,cocaine,1140
海里,Sea,1140
领先,Lead,1139
叫醒,wake,1138
邦德,Bangde,1138
之間,between,1138
何必,Why,1137
哈啰,Hello,1136
办事,work,1136
傷害,harm,1135
寻常,Unusual,1135
机械,mechanical,1135
夏威夷,Hawaii,1135
敲门,Knock on the door,1134
接收,take over,1134
省,Province,1134
别提,Not mention,1134
电池,Battery,1133
录音,recording,1133
帕,Pa,1133
夥計,Gang,1133
就够,Enough,1132
恶梦,nightmare,1132
住在一起,living together,1132
大地,Land,1132
宴会,banquet,1132
大多,most,1132
仿宋,Imitate the Song,1132
货车,truck,1131
别怕,Don't be afraid,1131
引发,Cause,1131
修复,repair,1130
作者,author,1130
虫,insect,1130
提要,Summary,1130
十字架,cross,1130
难看,Ugly,1130
福尔摩斯,Holmes,1129
头部,head,1129
劳拉,Laura,1129
眼里,In the eyes,1129
象征,Symbol,1129
牠,it,1129
俄国人,Russian,1128
谨慎,cautious,1128
珍惜,cherish,1127
勇士,warrior,1127
睡覺,sleep,1127
蜂蜜,Honey,1127
删除,delete,1126
抛,throw,1125
发型,hairstyle,1125
周日,Sunday,1124
辆,Vehicle,1124
婆婆,Mother -in -law,1124
氧气,oxygen,1124
南部,Southern part,1123
吃药,Take medicine,1123
轮,wheel,1123
项链,necklace,1123
聯,Linked,1123
弄错,mistake,1122
初,early,1122
消除,eliminate,1121
放屁,fart,1120
概念,concept,1120
交通,transportation,1120
瑞士,Switzerland,1120
三個,Three,1120
汽油,gasoline,1120
诊所,Clinic,1120
土豆,Potato,1120
祖先,ancestor,1119
童年,childhood,1119
无数,countless,1118
双眼,Eyes,1118
下载,download,1118
歌唱,singing,1118
確實,really,1117
东,East,1117
一点儿,a little,1117
越过,Cross,1117
力气,strength,1117
声称,claim,1117
隨便,casual,1116
马车,carriage,1116
瑞德,Ruide,1116
这回,this time,1115
搞不懂,Not understand,1115
房租,rent,1115
有点像,A bit like,1115
通,Pass,1115
这套,This set,1114
波兰,Poland,1114
仅此而已,That's it,1114
ω,ω,1113
家园,home,1111
作為,Be,1111
暗杀,Assassinate,1110
纪录,Record,1110
试过,Trial,1110
降临,Come,1110
人渣,Scum,1109
主持,Host,1109
ˋ,Bleak,1109
人数,Number of people,1109
ﺠ,Bleak,1109
阴影,shadow,1109
防御,defense,1108
タ,Bleak,1108
滚蛋,Get out,1107
巴克,Barc,1106
一下子,all of a sudden,1106
死人,dead,1106
贵族,noble,1106
接下,Follow up,1106
枪杀,Shot,1106
仇恨,Hate,1106
评估,Evaluate,1105
離,Leave,1105
迪恩,Dien,1104
沙,sand,1104
掌声,applause,1104
英寸,inch,1104
索,Claim,1103
共,common,1103
繷,Bleak,1102
今后,from now on,1102
绕,Go around,1102
深入,Deepen,1102
抬,lift,1102
咧,Pilk,1102
得分,Score,1102
之地,place,1101
没说,Not to say,1101
身份证,ID card,1101
布拉德,Brad,1101
快樂,hapiness,1100
騙,cheat,1099
签署,sign,1098
珍,Cherished,1098
登上,Ascend,1098
無論,regardless,1098
睡眠,Sleep,1098
ﺓ,Bleak,1097
服用,Take,1096
還能,Still,1096
很多年,many years,1096
听不见,can not hear,1096
法国人,French,1096
甜,sweet,1096
这算,This,1095
例子,example,1095
吼,Roar,1094
往前,Forward,1094
清洁,clean,1094
胆小鬼,coward,1094
亚洲,Asia,1093
夏,summer,1093
许可,license,1093
警员,Police officer,1092
继续前进,keep going,1092
周一,on Monday,1092
告别,bid farewell,1092
长期,long,1092
盡,Fully,1092
福特,Ford,1092
秩序,order,1092
奖励,award,1091
香肠,sausage,1091
屋子里,In the house,1091
插手,Intervene,1091
我读,I read,1091
诗人,poet,1091
死神,grim Reaper,1091
两只,Two,1090
原创,Original,1090
效劳,Serve,1089
小人,Villain,1089
滋味,taste,1089
恐慌,panic,1089
北京,Beijing,1088
创作,creation,1088
披萨,Pizza,1087
め,Bleak,1086
那场,That game,1086
畜生,brute,1086
禗,Bleak,1085
结论,in conclusion,1085
打招呼,greet,1085
说来,Say,1085
可否,Can,1085
珍贵,precious,1084
第四,fourth,1084
防守,Defend,1084
阅读,read,1084
摄影师,Photographer,1083
瓣,valve,1083
陌生,strangeness,1083
会想,Think,1082
量,quantity,1082
车辆,vehicle,1081
就位,In place,1081
變得,Become,1081
稰,Bleak,1081
翻譯,translate,1081
伊莎贝尔,Isabel,1081
带子,tape,1081
分离,Separate,1081
交代,Explain,1081
院子,courtyard,1081
約翰,John,1080
進入,Enter,1080
远远,Far away,1079
埋葬,bury,1079
民众,people,1078
虐待,Abuse,1078
腳,foot,1078
岿,Bleak,1077
帮不了,Unable to help,1076
迈阿密,Miami,1076
舧,Bleak,1075
赶来,Rush,1075
勉强,reluctantly,1075
预言,prophecy,1074
举办,hold,1074
复制,copy,1074
原始,original,1074
评价,evaluate,1074
吸烟,Smoke,1074
奖金,bonus,1073
地毯,carpet,1073
私下,in private,1073
墓地,cemetery,1072
哈特,Harut,1072
热爱,Love,1072
一百万,one million,1072
苏菲,Sophie,1071
巡逻,patrol,1071
收获,reward,1071
毫米,Millimeter,1071
协会,association,1071
法兰,Flang,1071
过度,over,1070
超市,supermarket,1069
朝鲜,North Korea,1069
问好,say hello,1069
行動,action,1069
负担,burden,1069
村,village,1068
玛丽亚,Maria,1067
指出,Point out,1067
战胜,Defeat,1067
当事人,party,1067
模型,Model,1067
套,set,1067
无比,Extremely,1067
琳娜,Lena,1067
义务,obligation,1067
普,general,1067
定位,position,1066
湿,wet,1066
汀,Achieve,1066
卢,Lu,1066
不足,insufficient,1065
授权,Authorize,1065
登陆,Log in,1065
主角,main character,1065
节,Festival,1065
接管,take over,1065
应得,deserve,1065
自已,Self,1065
证件,Document,1065
八个,Eight,1065
武装,Armed,1064
保管,custody,1064
太过分,Too much,1064
掉下来,drop down,1063
各自,respective,1063
回头见,Look back,1063
重建,reconstruction,1062
疭,Bleak,1062
版本,Version,1062
打包,Pack,1062
二号,No. 2,1061
奔,Run,1061
幽默,humor,1060
旅游,travel,1060
休假,take a vacation,1060
候选人,candidate,1059
换衣服,Change clothes,1059
拉里,Larry,1059
中有,In the middle,1059
不通,Unprepared,1059
香蕉,banana,1058
埃里克,Eric,1058
矛盾,contradiction,1058
血腥,bloody,1058
约瑟夫,Joseph,1057
东尼,Anthony,1057
看待,Treat,1056
威利,Wig,1056
相比,compared to,1056
伴侣,companion,1056
治愈,cure,1056
杰米,Jami,1056
举起,lift,1055
蹲,squat,1055
蝙蝠,bat,1055
闯入,Break in,1054
清晰,Clear,1054
少来,Stop it,1054
刮,shave,1054
眼中,In the eyes,1054
阿富汗,Afghanistan,1054
村庄,village,1054
原諒,forgive,1054
跟随,follow,1053
瑞秋,Ruiqiu,1053
誓言,oath,1053
违法,Illegal law,1053
快死了,about to die,1053
操纵,manipulate,1053
兩,two,1053
礚,Bleak,1053
搜寻,search,1052
大厦,building,1052
旋转,Rotate,1051
赌博,gamble,1051
覆盖,cover,1051
只管,Just,1050
硬币,coin,1050
潜艇,submarine,1049
弱点,weakness,1049
香水,perfume,1049
本能,instinct,1049
教皇,pope,1048
晕,faint,1048
盘子,plate,1048
最快,Fastest,1047
百万,million,1047
青春,youth,1047
恐龙,Dinosaur,1047
购物,Shopping,1047
口味,taste,1046
不赖,not bad,1046
询问,ask,1046
那要,That for,1045
面子,face,1045
别急,Don't worry,1045
幹嘛,what,1045
身邊,Beside,1045
鲜血,Blood,1044
娩,delivery,1043
漫画,comics,1043
受过,Suffer,1042
呜,Fooled,1042
那份,That copy,1042
自身,itself,1041
之夜,night of,1040
策划,plan,1040
诉讼,litigation,1040
冲突,conflict,1040
渐渐,gradually,1039
巫师,wizard,1039
个性,personality,1039
房里,Room,1039
貌似,seemingly,1038
穿衣服,wear clothes,1038
免得,lest,1038
要命,Be terrible,1038
一千,one thousand,1038
里克,Rick,1038
飛機,airplane,1038
酒精,Alcohol,1038
审讯,trial,1037
凯撒,Caesar,1037
闪,flash,1037
莱,Liberal,1037
侄子,nephew,1037
猜测,guess,1037
尊严,dignity,1036
袜子,sock,1036
隔离,isolation,1036
下流,Downside,1036
基督教,Christianity,1036
修改,Revise,1035
基于,based on,1035
每当,whenever,1035
印第安人,Indian,1035
目击,Witness,1035
未婚夫,fiancé,1035
一同,together,1034
指引,Guidance,1033
六年,Six years,1033
入,enter,1033
恒星,star,1033
取代,replace,1033
狂,mad,1033
专注,Focus on,1033
取出,take out,1033
怎么着,How to do,1033
电子,electronic,1033
伊恩,Ian,1032
回归,return,1032
供,for,1032
右手,Right hand,1031
透过,Through,1031
吾,I,1031
说错,Say wrong,1031
牙,tooth,1031
檢查,examine,1031
汇报,report,1030
台词,Line,1030
水手,sailor,1029
牛肉,beef,1029
亂,chaos,1029
克服,overcome,1029
了结,Concluded,1028
帮帮忙,Help,1028
慷慨,generous,1028
一辆车,a car,1027
良心,conscience,1027
灵感,inspiration,1027
打開,Open,1027
一分,one cent,1027
元首,Head,1026
买点,Buy,1025
娅,Darling,1025
原,Original,1025
夹,folder,1025
胃,Stomach,1025
马克斯,Max,1025
从事,Engage in,1025
排除,exclude,1024
召集,convene,1024
模样,appearance,1024
外国,Foreign,1023
阴茎,penis,1023
酒鬼,drunkard,1023
操心,worry,1023
指着,Point out,1022
寒冷,cold,1022
汉克,Hanke,1022
慢着,Slowly,1022
一身,One,1022
马特,Mart,1022
旧金山,San Francisco,1021
北部,North,1021
希腊,Greece,1021
扫描,scanning,1021
一圈,One circle,1021
看起,Look at,1021
戴尔,Dell,1021
好友,Friend,1020
终结,End,1020
老弟,Brother,1020
有点儿,kind of,1020
犹豫,hesitate,1019
场面,scene,1019
伪装,camouflage,1019
心理医生,Psychologist,1019
不理,ignore,1019
目標,Target,1019
牢房,cell,1019
丑,ugly,1018
实力,strength,1018
把戏,Drama,1018
纯粹,purely,1018
報告,Report,1018
朱莉,Jelly,1018
侵犯,Infringement,1017
丸,pill,1017
乡下,countryside,1017
例外,exception,1016
湖,lake,1016
罗伊,Roy,1016
传播,spread,1016
块钱,Dollars,1016
赣,Gan,1015
餓,Hungry,1015
戳,stamp,1015
指责,Blame,1015
各地,All over the country,1014
芭芭拉,Barbara,1014
收音机,radio,1014
领带,tie,1013
核心,core,1013
途径,way,1013
命名,name,1013
滾,roll,1013
人要,Be,1013
类,kind,1013
弹药,ammunition,1013
团结,United,1013
黑帮,Gangster,1012
忏悔,repent,1012
晚会,Party,1012
眼光,vision,1012
前线,front,1012
扁,flat,1012
上船,Boarding,1012
别去,do not go,1012
有利,favorable,1012
可乐,Cola,1012
改天,Remodel,1012
惹麻烦,Trouble,1011
正直,Upright,1011
靴子,boots,1011
龟,turtle,1011
电视台,Television station,1010
看不出,Unrecognizable,1010
维护,maintain,1010
边界,boundary,1010
四周,Surround,1010
视线,Vision,1009
一阵,For a while,1009
路过,Pass by,1009
污染,pollute,1009
明晚,Tomorrow night,1008
写作,writing,1008
中学,Middle school,1007
国内,domestic,1007
渡,Cross,1007
电报,telegraph,1006
哈哈哈,Hahaha,1006
不利,unfavorable,1005
未來,future,1005
论文,paper,1005
风景,landscape,1005
额外,additional,1004
传送,Transmit,1004
两者,Two,1004
幼稚,childish,1003
电,electricity,1003
ª,Bleak,1003
基督徒,Christian,1003
解散,Dissolve,1003
あ,Bleak,1002
山谷,valley,1002
出版,publishing,1002
依,according to,1002
帕特,Pat,1002
友善,friendly,1002
艾比,Aby,1002
而战,War,1002
闭上眼睛,Close your eyes,1002
埃迪,Edie,1001
吓唬,frighten,1001
蝴蝶,Butterfly,1001
德语,German,1001
一组,A group,1001
男女,men and women,1000
争论,debate,1000
七个,Seven,1000
拉斯维加斯,Las Vegas,1000
得以,In order,999
我心,my heart,999
泄露,Give way,999
乘,take,999
遗嘱,will,998
你給,you give,998
媽的,Oh shit,998
钟,bell,998
获胜,Win,998
谣言,rumor,998
忽略,neglect,998
单纯,simple,997
跑掉,Run away,997
荷兰,Netherlands,997
賺,earn,997
黛,Daisy,997
分散,dispersion,997
狠狠,Fierce,997
团,group,997
爲,for,997
尾巴,Tail,997
非要,Be right,996
里头,Inside,996
展现,Show,996
惠,benefit,996
诡异,Weird,996
讯息,message,996
哩,Mile,996
曲子,song,996
某处,somewhere,996
充分,full,996
多钱,Rich,995
担任,Be,995
怎会,How,995
安息,rest in peace,995
端,end,995
问候,greeting,994
订,order,994
后门,back door,994
提过,mentioned,994
那段,That period,994
ゑ,Bleak,994
奖,prize,993
喂喂,Feed,993
内疚,Guilty,993
帅,handsome,993
拿给,Give,993
避开,Avoid,993
裸体,nude,993
一时,For a while,992
倍,Double,992
人有,Person,992
寄给,Send to,992
少爷,Master,992
未婚妻,fiancée,992
凯莉,Kelly,991
露出,Reveal,991
恕,Forgive,991
青年,youth,991
观赏,Watch,991
悲惨,tragic,990
挤,squeeze,990
反击,Counterattack,990
新生,newborn,990
負責,Responsible,990
别跑,Don't run,990
与众不同,Unique,990
传给,Pass to,990
尚未,Not yet,989
排队,queue,989
画画,draw,988
不感兴趣,not interested,988
把握,grasp,988
笆,fence,987
臺,tower,987
适当,appropriate,987
七年,Seven years,987
洞穴,cave,986
振作,Vibrate,986
生长,Grow,986
马修,Matthew,985
制度,system,985
真他妈,Fucking,985
摄影,photography,985
蔬菜,vegetable,985
客厅,living room,985
疑犯,Suspect,984
色情,pornography,984
麵,noodle,984
不管怎么,No matter what,984
枪击,Shot,984
途中,en route,984
前妻,Ex -wife,984
此地,here,983
公斤,Kilogram,983
孤儿,orphan,983
维克多,Victor,983
着急,in a hurry,983
打猎,hunt,982
费城,Philadelphia,982
巴里,Barri,982
赞美,praise,981
人选,Person,981
节奏,Rhythm,981
住嘴,Stay,981
秈,Bleak,981
得来,Get,981
狂欢,carnival,980
玛格丽特,Margaret,980
耻辱,shame,980
方,square,980
喜,happiness,980
黎明,dawn,979
存活,Survive,979
滑,slip,979
疑问,doubt,979
花费,spend,979
分鐘,minute,979
睡衣,pajamas,979
外公,Grandfather,979
毒,poison,979
想得到,Want,978
决心,determination,978
奉献,Dedication,978
魔力,magic,978
实施,Implement,978
前方,Ahead,978
古巴,Cuba,978
没到,not here,977
總是,always,977
倾向,tendency,977
保镖,bodyguard,977
大会,General Assembly,977
荡妇,Slut,977
米歇尔,Michelle,977
我還,I still,976
料到,expect,976
表哥,cousin,976
多大,How big,975
甩掉,Throw away,975
真好,very nice,975
降低,reduce,975
别傻了,Do not be silly,974
提示,hint,974
怀特,White,974
癡,Be infatuated,973
快快,Fast,973
没空,No time,973
亲近,Close,973
成人,aldult,973
音樂,music,972
以此,In this way,972
轮胎,tire,972
出院,Discharge,972
两杯,Two cups,971
被判,Be sentenced,971
挑选,Choose,971
名人,celebrity,971
碰巧,happen,971
讯号,Signal,970
教师,teacher,970
看清楚,See clearly,970
排练,rehearse,970
指甲,nail,969
成年人,Adult,969
隐私,privacy,969
枪声,Gunfire,969
苍蝇,fly,969
放棄,give up,968
这能,This ability,968
打个招呼,say hi,968
二十年,Twenty years,968
蠢蛋,Stupid,968
毒药,poison,968
不用说,Needless to say,967
真话,Truth,967
早期,Early,966
握手,shake hands,966
就此,There,966
考,Test,966
犯错,Make mistakes,966
过于,too,966
里奇,Lichi,965
维克,Victor,964
舱,cabin,964
浴缸,tub,964
种子,seed,964
瓳,Bleak,964
北,north,964
戏剧,drama,964
粄,Bleak,964
好心,Kindness,964
沾,Stretch,963
看過,Seen,963
这间,This,963
贡献,contribute,963
看得出来,I can tell,963
祈求,pray,963
过后,Afterwards,962
读过,Read,962
炳,Dazzling,962
烧掉,Burn,962
吉尔,Gil,961
碗,bowl,961
优雅,grace,961
狡猾,cunning,961
瀑布,Fall,961
一封,One by one,961
融化,melt,960
不快,Unhappy,960
行程,journey,960
改造,Transform,960
ﺷ,Bleak,960
计程车,taxi,960
鸽子,Pigeon,960
羡慕,envious,959
伏特加,Vodka,959
深深,deeply,959
狥,Bleak,959
游,tour,959
头痛,Headache,959
咪,mum,959
齐,together,959
病房,Ward,959
告,tell,958
複,complex,958
光芒,Light,957
地铁,subway,957
康复,Recover,957
没听说过,never heard of that,957
骑马,horse riding,957
大王,King,957
雕像,statue,957
发言,Speak,956
期,Expect,956
之旅,journey of,956
好喝,Delicious,956
民族,nationality,955
负责人,principal,955
汉娜,Hannah,955
能源,energy,955
血迹,Blood stain,955
提升,promote,955
找点,Find out,954
抓走,Take away,954
木头,wood,954
院长,Dean,954
一具,One,954
乐观,optimism,954
游泳池,swimming pool,953
我剛,I just,953
再谈,Talk about,953
交出,hand over,953
两点,Two points,952
所作所为,What,952
撤,withdraw,952
一幅,One -piece,952
甲板,deck,952
烧死,Burn to death,952
宿舍,dormitory,952
台上,On the stage,951
窗口,window,951
短暂,short,951
化学,Chemical,951
哥们儿,Bros,951
破解,Cracked,951
线路,line,950
急事,Urgent matter,950
遠,Far,950
葡萄酒,wine,950
混合,mix,950
治安,Law and order,950
积极,positive,950
陈,List,950
给钱,Give money,949
很想,Want to,949
配,match,949
外出,Go out,949
女郎,Girl,948
亚历山大,Alexander,948
或者说,Or,948
镑,pound,948
怪怪的,strange,948
ﺧ,Bleak,948
服务员,waiter,947
打球,Play a ball,947
拉屎,shit,947
教室,classroom,947
做人,Be a person,947
墨菲,Murphy,947
布鲁克林,Brooklyn,946
海豚,dolphin,946
較,Compare,946
間,between,946
崔,Tadpole,945
目击者,eyewitness,945
礼服,Dresse,945
一篇,One,944
因素,factor,944
计算机,computer,944
压制,suppress,944
编辑,edit,943
當,when,943
结构,structure,943
蒙,Mongolian,943
哈维,Harvey,943
挽救,save,943
措施,measure,942
堕落,Degenerate,942
遗产,heritage,942
演戏,acting,942
控告,Accuse,942
小费,tip,942
弗雷迪,Fredi,942
腊,Bald,941
脚下,Under the foot,941
画家,painter,941
以往,in the past,940
预感,Pre -feel,940
堡,Fortress,940
杰,Outstanding,940
小便,Urinating,940
滑稽,funny,940
胸,chest,940
别墅,villa,940
卡洛斯,Carlos,940
司令,commander,939
迟早,sooner or later,939
医学,medicine,939
收养,adoption,939
下士,corporal,939
手腕,wrist,938
圣母,Virgin,937
影视,Film and television,937
一口气,Breath,937
维斯,Vess,937
天呀,Oh my god,937
输入,enter,937
没带,Did not bring,937
ン,ン ン,936
进化,evolution,936
地步,Point,936
一系列,A series,936
贝蒂,Betty,936
追逐,chase,936
甜点,dessert,936
卡片,card,935
治,rule,935
办到,Do,935
督察,Inspect,934
一到,One by one,934
争吵,quarrel,933
行业,industry,933
碎,broken,933
噪音,noise,933
整件事,Whole thing,933
游客,Tourist,933
事务所,Office,933
呻吟,moan,933
小弟,Younger brother,932
琳,Linked,932
那年,that year,932
一匹,One,931
上台,Take the stage,931
季节,season,930
车库,garage,930
环,ring,930
机长,captain,930
艾德,Ed,930
偷看,peep,929
斯巴达克斯,Spartacus,929
夏洛特,Charlotte,929
找人,Find someone,929
光荣,glory,929
塊,piece,929
文字,Word,929
姨妈,aunt,929
管用,Tube,928
时尚,Fashion,928
裡面,in,928
待命,Stand up,928
违背,Violate,928
第三个,The third,927
钮,button,927
願意,willing,927
处置,Disposal,927
老家伙,old man,927
决赛,finals,926
到哪去,Where to go,926
鸡肉,chicken,926
企鹅,penguin,926
疏散,evacuation,926
搶,Rob,926
沃特,Water,926
大便,Stool,925
委托人,Commissioner,925
一无所有,Have nothing,925
说了算,Make a matter,925
遊戲,game,925
真够,Really enough,925
纯洁,pure,925
五十,Fifty,925
格里,Grid,925
果汁,juice,924
他妈,His mother,924
回合,round,924
出场,Go out,924
天亮,Dawn,924
想想看,think about it,924
任務,Task,924
经,through,923
艾莉,Eri,923
几岁,How old,923
图像,image,923
监禁,Imprisonment,923
伪造,Fake,922
往常,Often,921
收藏,collect,921
手铐,Handcuff,921
撒尿,pee,921
港口,port,921
斯汀,Stein,920
押,Pledge,920
伯格,Big,920
正面,front,920
几时,when,920
家具,furniture,920
极,pole,920
罗比,Robby,919
戴维斯,Davis,919
蛋蛋,Egg,919
玩游戏,play games,919
祖国,motherland,919
要点,Point,919
射杀,Shoot,918
贺,Congratulate,918
文,arts,918
行不通,Be unable to do,918
笑声,laughter,918
死后,After death,918
在外,outer,918
审问,Interrogate,918
以防,To prevent,917
魏,Wei,917
投诉,complaint,917
肯尼迪,Kennedy,917
驾照,drving license,917
唷,Yo ~,917
医师,Physician,916
早晚,Morning or later,916
安保,security,916
扣,buckle,915
指定,Specify,915
形状,shape,914
抽屉,drawer,914
名片,business card,914
着陆,Land,914
一封信,A letter,914
好戏,Good show,914
毫无意义,Meaningless,913
挡住,Block,913
招,trick,913
嫌疑犯,Suspect,912
屌,Dick,912
艾玛,Emma,912
歌声,singing,911
模糊,Vague,911
物,Object,911
太过,Too much,911
受苦,suffer,910
大自然,Nature,910
军团,Legion,910
ﻱ,Bleak,910
有事吗,What's up,910
理,reason,909
动物园,zoo,909
里奥,Rio,909
扎克,Zak,909
赌注,bet,909
安装,Install,909
一手,One hand,909
一流,First -class,909
布拉,Bula,909
会为,To do,908
兰斯,Lance,908
生死,life and death,908
乱七八糟,Messy,908
掩盖,cover,908
议会,parliament,907
品味,taste,907
否則,otherwise,907
安德烈,Andre,907
狩猎,hunting,907
帐,account,907
家中,at home,907
亚伦,Aaron,907
丑陋,ugly,907
服,Clothes,906
德斯,Der,906
遗忘,Forgotten,906
发动机,engine,906
我哥,my brother,906
首都,capital,905
多好,How well,905
筿,Bleak,905
航行,Sail,905
那事,That matter,905
手法,Technique,904
报酬,remuneration,904
盐,Salt,904
不小,Not small,904
无情,ruthless,904
現場,on site,904
无限,unlimited,904
簡直,simply,903
破烂,tattered,903
张开,Open up,903
旅途,Journey,903
銀行,bank,903
饥饿,hunger,903
以便,so that,903
化妆,make up,903
版,Version,902
開車,drive,902
不多,not much,902
失业,unemployment,902
陪伴,accompany,902
我得,I have to,902
脑海,Brain,901
打交道,Deal,901
开关,switch,901
火山,volcano,901
酗酒,alcoholism,901
下个,next,900
有關,related,900
游行,procession,900
刀子,knife,900
局面,situation,900
赐予,Give,900
不满,dissatisfied,900
多数,most,899
這事,This issue,899
空军,air force,899
名声,reputation,899
当局,authorities,899
瑞,Sorge,898
过头,Excessive,898
创意,Creativity,898
快给我,Give me soon,898
古,antiquity,898
没完,Endless,898
暑假,summer vacation,898
欢呼,cheer,898
此时,at this time,898
打得,Be able to,897
来接,To pick,897
公共,public,897
逗,tease,897
狟,Bleak,897
克里,Carey,897
别过来,do not come,897
辐射,radiation,897
勋章,medal,896
背上,On the back,896
清单,List,896
遭,Suffer,896
美人,beauty,896
言,Word,895
慈善,charitable,895
棘手,Tricky,895
缠,Entanglement,894
玛莎,Martha,894
团体,group,894
弗雷德,Fred,894
布里,Burry,894
几小时,Hours,894
希,hope,894
依旧,still,893
极端,extreme,893
片子,Film,893
扇门,Door,892
来得及,Have time,892
好日子,Good day,892
接通,Connect,892
河流,river,892
余生,For the rest of my life,891
帮派,Gang,891
大人物,Big man,891
證明,prove,891
无礼,rude,891
传达,convey,891
债务,debt,891
ﺐ,Bleak,890
胃口,appetite,890
犯罪现场,Crime scene,890
堵,Blocking,890
心想,Think,889
欧文,Emperor,889
动静,movement,889
大规模,Large -scale,889
杀戮,Kill,889
一程,One -way,889
拘留,detention,888
下注,Bet,888
看不出来,can not tell,888
代,generation,888
合,combine,888
艾尔,Er,888
蜜蜂,bee,888
肯尼,Kenny,888
十个,Ten,887
干过,Do,887
诀,Tactics,887
卢卡斯,Lucus,887
混帐,Mix,887
这时,At this time,887
头盔,helmet,886
扭曲,distortion,886
过敏,allergy,886
红酒,wine,886
自首,Surrender,886
当天,That day,886
喜爱,favorite,886
清洗,Clean,885
橄榄球,football,885
点心,dessert,885
跪,kneel,885
休想,Take a look,885
装饰,decorate,885
憎恨,hatred,884
集中营,Concentration camp,884
稦,Bleak,884
症,disease,884
来个,Come,884
失败者,loser,884
闪电,lightning,883
乐子,Music,883
狐狸,fox,883
星系,galaxy,883
紧急情况,Emergency situations,883
国民,national,883
离去,Leave,883
世人,World,882
借给,Lend to,882
器官,organ,882
半年,Half a year,882
毙,shoot,882
妹,sister,881
毫不,Not,881
重生,Rebirth,881
看一看,Take a look,881
重量,weight,880
下巴,jaw,880
十二,twelve,880
航空,aviation,880
好久没,Not a long time,880
散,Scatter,880
葛,Pace,880
举动,move,879
之王,King of,879
喝水,Drink water,879
可憐,Pitiful,878
太远,Too far,878
光线,Light,878
一切顺利,all the best,878
宝藏,Treasure,878
直说,Straightforward,878
战役,Campaign,878
潜水,diving,878
元素,element,878
三点,Three points,877
挣,earn,877
醒过来,wake up,876
这要,This,876
点燃,ignite,876
那座,That one,875
屍體,Corpse,875
保释,bail,875
ú,ú,875
要钱,Ask for money,875
本來,originally,875
火力,Firepower,875
晚宴,Dinner,875
竟敢,Dare to,875
火灾,Fire,874
城镇,town,874
陆地,land,874
处决,Execute,873
夜总会,nightclub,873
物种,Species,873
大赛,Competition,873
触摸,touch,873
克莱,Cle,873
想一想,Think about,873
制定,Formulate,873
詹姆士,James,872
一伙,One group,872
落下,fall,872
柑,Mandarin,872
住院,Be hospitalized,872
妮可,Nicole,871
落后,behind,871
第一件,The first piece,871
首领,leader,871
要紧,important,871
信件,letter,870
杰克逊,Jackson,869
下落,whereabouts,869
走上,Go up,869
他俩,They,869
特里,Terry,869
董事会,Board of Directors,869
体重,weight,868
引导,guide,867
宣誓,Oath,867
平等,equality,867
草莓,strawberry,867
一股,One,867
处在,Be in place,867
鸡巴,Dick,866
那件,that piece,866
暖和,warm,866
琳达,Linda,866
陆军,army,865
記住,remember,865
凯利,Kelly,865
ㄢ,Bleak,865
勒索,blackmail,865
透,through,865
這么,so,865
好大,so big,865
一場,One game,865
鸭子,Duck,864
á,á,864
世界末日,End of the world,864
謝,Thanks,864
身子,Body,864
還記,Remember,864
取笑,make fun of,863
天黑,Dark,863
追杀,Pursue,863
凯,Cervical,863
魔术,magic,863
放学,School,862
马戏团,circus,862
工业,industry,862
我教,I teach,862
帮手,helper,862
乐团,Band,862
德拉,Derag,862
馅饼,pie,861
吸引力,Attractiveness,861
幕后,Behind the scene,861
虫子,insect,861
打擾,disturb,861
雅典娜,Athena,861
约翰尼,Johnny,861
独自一人,Alone,861
侵入,Invade,860
边上,Side,860
毯子,blanket,860
该是,should be,860
狙击手,Sniper,860
相片,photo,860
左手,Left hand,860
传言,Rumor,859
提名,Nominate,859
开头,beginning,859
那辆车,That car,859
菲尔德,Field,859
设施,facility,859
背着,Carry,859
何处,where,859
開槍,shot,859
乳房,breast,858
第七,seventh,858
出血,Bleeding,858
小学,primary school,857
